VDATE,GLOBAL_INTRA_DECOR_OVERLAY,TL1_GLOBAL_TREND_OVERLAY,TL9_INTRA,TL2_FUTURES,SPREAD_COMB_US,TL2_HIGHVASSETS,TL5_INTRA_LS,TL3_INTRA,TL7_INTRA_QUATERLY,HTTS_SHORT_ONLY,HTTS_DEFENSIVE,INTRA_CORRELATION,TL1_INTRA_TRAILLING,TL3_NON_CORRELATED,GLOBAL_INTRA_COR_OVERLAY,TL3_MULTIOPTSHORT,TL10_INTRA_ZONE,TL4_INTRA_LS,TL2_INVERSE_CORR,SPREAD_US_2,TL2_INTRA,TL2_NON_CORR,INTRA_DECORRELATION_500,TL2_POSITIVE_CORR,INTRA_INVERSE_500,THR,TEAM_LEADER_3,HTTS_SPREAD_3,HTTS_SHORT_COMBINED,HTTS_TOP1000,SPREAD_US_OVERLAY,SPREAD_INDEX_OVERLAY,HTTS_BIGBASKET_DECORR,INTRA_BONDS,SPREAD_COMMODITY_OVERLAY,HTTS_BIGBASKET_CORR,INTRA_COMMODITY,HTTS_BIG_FUT_INDIA_OVERLAY,TOP_1000_ORIGINAL,TOP_1000_OVERLAY,TOP_250_DECOR_OVERLAY,TOP_500_COR_OVERLAY
24-05-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-796.1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-05-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933.9814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-05-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9799875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-05-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-05-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-217.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-05-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4006.438275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-06-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4899.067875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-06-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3772.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-06-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890.3499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-06-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-143.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-06-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2058.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-06-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-06-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-06-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-06-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
